,transaction_id,transaction_datetime,customer_id,product_id,product_lvl1,product_lvl2,product_lvl3,product_lvl4,brand,price,description,rating,num_sold,quantity,unit_price,total_amount,payment_id,promotion_id,transaction_status,transaction_type,store_id
0,0,2020-01-25 07:37:15,1033,65,Giày dép và Phụ kiện,Giày thể thao,Giày thể thao nam,Giày thể thao nam Air Jordan,Nike,2499000,Giày thể thao nam Air Jordan - Sự kết hợp hoàn hảo giữa thể thao và thời trang.,4.9,663,0,2499000,0,,0.0,Đã xác nhận,Thanh toán,8389
1,1,2022-10-22 07:46:41,1537,124,Quần áo,Áo sơ mi,Áo sơ mi nam,Áo sơ mi Uniqlo,Uniqlo,450000,Áo sơ mi Uniqlo - Thời trang và lịch sự.,,1168,0,450000,0,,,Đã hủy,Thanh toán,8781
2,2,2022-11-20 00:16:46,7297,68,Thương mại điện tử,Máy tính bảng,Samsung Tab,Samsung Galaxy Tab S7,Samsung,18000000,Samsung Galaxy Tab S7 - Màn hình AMOLED đẹp và bút S Pen tiện ích.,4.8,846,8,18000000,144000000,2.0,2.0,Đã giao hàng,Thanh toán trực tuyến,8924
3,3,2021-12-21 01:10:26,365,6,Thương mại điện tử,Điện thoại di động,Điện thoại iPhone,iPhone 13 Pro,Apple,33000000,Điện thoại iPhone 13 Pro - Thiết kế tinh tế và hiệu năng mạnh mẽ.,4.9,1404,8,33000000,264000000,3.0,3.0,Đã giao hàng,Thẻ ghi nợ,8703
4,4,2020-12-04 06:33:37,6915,7,Siêu thị,Thực phẩm đóng gói,Gạo,Gạo thơm,Premium Rice,45000,Gạo thơm Premium Rice - Thơm ngon và đậm đà hương vị.,4.9,344,5,45000,225000,4.0,4.0,Đã xác nhận,Thanh toán trực tuyến,8567
5,5,2020-12-11 04:50:16,3782,56,Điện gia dụng,Tivi,Tivi 4K,Tivi 4K 55 inch,LG,8990000,Tivi 4K 55 inch LG - Trải nghiệm hình ảnh siêu nét.,4.7,1007,3,8990000,26970000,5.0,5.0,Đã hoàn trả,Thanh toán trực tuyến,8427
6,6,2022-12-12 06:55:41,9116,25,Tiêu dùng nhanh,Đồ ăn nhẹ,Kẹo,Kẹo caramen,Candy World,8000,Kẹo caramen Candy World - Vị ngọt dịu dàng và thơm ngon.,5.0,213,0,8000,0,,,Đã hoàn trả,Thẻ ghi nợ,8124
7,7,2022-09-27 14:40:52,8205,108,Thương mại điện tử,Điện thoại di động,Điện thoại Samsung,Samsung Galaxy S21,Samsung,25000000,Điện thoại Samsung Galaxy S21 - Màn hình AMOLED đẹp và camera chất lượng cao.,4.8,1591,3,25000000,75000000,7.0,,Đã hủy,Mua hàng,8291
8,8,2022-02-09 15:42:44,8181,129,Laptop và Máy tính,Laptop,MacBook,MacBook Pro,Apple,40990000,Apple MacBook Pro 13-inch - Máy tính xách tay mạnh mẽ cho công việc sáng tạo.,4.9,1616,0,40990000,0,8.0,8.0,Đã hủy,Hoàn tiền,8762
9,9,2022-11-04 11:34:38,6788,44,Siêu thị,Thực phẩm đóng gói,Gạo,Gạo thơm,Premium Rice,45000,Gạo thơm Premium Rice - Thơm ngon và đậm đà hương vị.,4.9,957,0,45000,0,9.0,,Đã hủy,Thẻ tín dụng,8756
10,10,2021-03-06 11:37:13,7191,130,Điện thoại di động,Smartphone,iPhone,iPhone 13 Pro,Apple,26990000,iPhone 13 Pro 128GB - Máy tính di động hàng đầu của Apple.,4.8,85,0,26990000,0,10.0,,Đã giao hàng,Thẻ ghi nợ,8380
11,11,2022-03-13 11:53:17,484,120,Tiêu dùng nhanh,Đồ ăn nhẹ,Bánh quy,Bánh quy socola,Sweet Treats,15000,Bánh quy socola Sweet Treats - Ăn vặt ngọt ngào và thơm ngon.,4.9,761,0,15000,0,11.0,,Đã tiếp nhận,Thanh toán trực tuyến,8608
12,12,2022-03-05 18:35:30,2791,43,Siêu thị đồ ăn,Thực phẩm đóng gói,Snack,Snack hạt điều,Nutty Bites,25000,Snack hạt điều Nutty Bites - Ăn vặt ngon miệng và bổ dưỡng.,2.7,1642,0,25000,0,12.0,12.0,Đã hoàn trả,Thẻ tín dụng,8553
13,13,2022-12-19 06:33:33,8983,59,Sách,Sách triết học,Triết lý sống,Điều Còn Lại Sau Khi Chết,NXB Văn Học,75000,Sách triết học 'Điều Còn Lại Sau Khi Chết' - Suy ngẫm về ý nghĩa cuộc sống và cái chết.,4.9,1798,2,75000,150000,13.0,,Thành công,Thẻ ghi nợ,8362
14,14,2022-04-19 20:40:58,4411,140,Sách,Sách tiểu thuyết,Tiểu thuyết tình yêu,Người Đàn Bà Bí Ẩn,Kim Đồng,79000,Tiểu thuyết tình yêu 'Người Đàn Bà Bí Ẩn' - Câu chuyện lãng mạn và cảm động.,5.0,572,0,79000,0,14.0,,Đã xác nhận,Thanh toán,8878
15,15,2022-12-01 22:18:50,8396,33,Điện gia dụng,Lò vi sóng,Lò vi sóng nướng,Lò vi sóng nướng Panasonic,Panasonic,3690000,Lò vi sóng nướng Panasonic - Nấu nướng tiện lợi.,4.6,99,2,3690000,7380000,15.0,,Đang xử lý,Thanh toán,8058
16,16,2022-02-09 23:32:41,5975,145,Sách,Sách triết học,Triết lý cuộc sống,Từ Tốt Đến Vĩ Đại,Jim Collins,89000,Sách triết học 'Từ Tốt Đến Vĩ Đại' của Jim Collins - Cuốn sách giúp doanh nghiệp phát triển và thành công.,4.7,1119,7,89000,623000,,,Đã hoàn trả,Thanh toán,8833
17,17,2021-08-22 02:59:11,5670,0,Siêu thị,Thực phẩm đông lạnh,Hải sản,Cá basa đông lạnh,Frozen Seafood,80000,Cá basa đông lạnh Frozen Seafood - Tươi ngon và giàu dinh dưỡng.,4.7,1119,0,80000,0,17.0,,Đã tiếp nhận,Hoàn tiền,8470
18,18,2022-03-10 14:02:25,3761,45,Rau củ,Củ,Khoai tây,Khoai tây tím,Garden Fresh,25000,Khoai tây tím Garden Fresh - Tươi ngon và giàu chất chống oxy hóa.,4.8,303,2,25000,50000,,,Đã giao hàng,Mua hàng,8565
19,19,2022-09-05 04:23:13,4182,8,Túi xách và Ví,Ví nam,Ví nam da bò,Ví nam da bò Montblanc,Montblanc,4999000,Ví nam da bò Montblanc - Phong cách sang trọng và thanh lịch.,4.8,226,13,4999000,64987000,19.0,19.0,Đã tiếp nhận,Mua hàng,8018
20,20,2022-03-09 13:10:03,4607,63,Đồ ăn,Thực phẩm đóng gói,Kẹo,Kẹo sữa dừa,Orion,12000,Kẹo sữa dừa Orion - Vị ngọt dịu dàng thơm mát.,4.6,1060,0,12000,0,20.0,,Đã xác nhận,Mua hàng,8298
21,21,2019-05-27 16:57:43,2615,65,Giày dép và Phụ kiện,Giày thể thao,Giày thể thao nam,Giày thể thao nam Air Jordan,Nike,2499000,Giày thể thao nam Air Jordan - Sự kết hợp hoàn hảo giữa thể thao và thời trang.,4.9,663,6,2499000,14994000,21.0,,Đã giao hàng,Thanh toán,8729
22,22,2021-04-04 22:34:50,5275,127,Siêu thị đồ ăn,Thực phẩm đóng gói,Mì gói,Mì gói hương gà,Nissin,8000,Mì gói hương gà Nissin - Ăn liền nhanh chóng và tiện lợi.,4.7,519,3,8000,24000,22.0,,Đã giao hàng,Thanh toán,8432
23,23,2022-10-06 21:42:38,4233,27,Điện thoại di động,Smartphone,Galaxy,Galaxy S21,Samsung,17990000,Samsung Galaxy S21 128GB - Sự tiếp nối xuất sắc trong dòng Galaxy S.,4.7,1554,0,17990000,0,,,Đã xác nhận,Thanh toán trực tuyến,8989
24,24,2022-05-18 18:32:20,341,57,Sách,Sách tiểu thuyết,Tiểu thuyết khoa học viễn tưởng,Thế Giới Mới,Hội Nhà Văn,109000,Tiểu thuyết khoa học viễn tưởng 'Thế Giới Mới' - Cuốn sách gây cấn và đầy bất ngờ.,,721,0,109000,0,24.0,24.0,Đã giao hàng,Thẻ tín dụng,8165
25,25,2022-03-02 13:37:28,8295,109,Phụ kiện điện thoại,Pin dự phòng,Pin dự phòng 10000mAh,Pin dự phòng 10000mAh Anker,Anker,690000,Pin dự phòng 10000mAh Anker - Sạc nhanh và tiện lợi.,2.8,1291,0,690000,0,25.0,25.0,Đã giao hàng,Thanh toán trực tuyến,8817
26,26,2022-08-31 09:29:14,7386,57,Sách,Sách tiểu thuyết,Tiểu thuyết khoa học viễn tưởng,Thế Giới Mới,Hội Nhà Văn,109000,Tiểu thuyết khoa học viễn tưởng 'Thế Giới Mới' - Cuốn sách gây cấn và đầy bất ngờ.,,721,0,109000,0,26.0,26.0,Đã giao hàng,Thẻ tín dụng,8823
27,27,2021-06-24 08:36:59,6984,15,Đồng hồ,Đồng hồ nữ,Đồng hồ nữ dây kim loại,Đồng hồ nữ dây kim loại Michael Kors,Michael Kors,3299000,Đồng hồ nữ dây kim loại Michael Kors - Phong cách nữ tính và thanh lịch.,4.6,1046,10,3299000,32990000,27.0,,Đã giao hàng,Mua hàng,8049
28,28,2021-11-29 10:25:30,1252,79,Rau củ,Củ,Khoai lang,Khoai lang sáp,Harvest Garden,18000,Khoai lang sáp Harvest Garden - Tươi ngon và giàu chất xơ.,4.5,766,9,18000,162000,,28.0,Thành công,Mua hàng,8579
29,29,2021-07-16 00:11:59,138,143,Sách,Sách tham khảo,Sách khoa học,Nguyên Lý Cơ Học,Giáo Dục,135000,Sách khoa học 'Nguyên Lý Cơ Học' - Tổng quan về cơ học cơ bản.,4.8,649,4,135000,540000,29.0,29.0,Đã giao hàng,Thẻ ghi nợ,8986
30,30,2022-12-09 14:34:36,7550,43,Siêu thị đồ ăn,Thực phẩm đóng gói,Snack,Snack hạt điều,Nutty Bites,25000,Snack hạt điều Nutty Bites - Ăn vặt ngon miệng và bổ dưỡng.,2.7,1642,8,25000,200000,30.0,30.0,Đã hủy,Thẻ ghi nợ,8638
31,31,2022-05-18 07:29:30,6192,51,Máy ảnh và Máy quay phim,Máy ảnh du lịch,Máy ảnh du lịch Sony Alpha,Máy ảnh du lịch Sony Alpha a6400,Sony,17490000,Máy ảnh du lịch Sony Alpha a6400 - Chất lượng hình ảnh nổi bật.,3.9,1352,0,17490000,0,31.0,,Đã giao hàng,Thẻ tín dụng,8444
