,customer_id,credit_label,credit_score,credit_rating,credit_limit,approval_status,reject_reason,application_date,application_reason,disbursement_date
0,43660,Good,693,Tốt,30000000.0,Chấp nhận,,2022-04-26,Mua đồ thể thao,2022-05-18
1,87278,Good,717,Tốt,35000000.0,Chấp nhận,,2022-04-12,Mua đồ điện tử gia dụng,2022-05-01
2,14317,Good,742,Xuất sắc,50000000.0,Chấp nhận,,2022-10-08,Thanh toán học phí,2022-11-02
3,81932,Good,727,Xuất sắc,60000000.0,Chấp nhận,,2022-08-22,Mua đồ thể thao,2022-09-14
4,95321,Good,713,Tốt,45000000.0,Chấp nhận,,2022-11-05,Sửa chữa nhà cửa,2022-11-20
5,5405,Good,758,Xuất sắc,70000000.0,Chấp nhận,,2022-03-09,Thanh toán khoản vay cũ,2022-03-28
6,33188,Good,713,Tốt,70000000.0,Chấp nhận,,2022-09-23,Đi du lịch,2022-10-17
7,63421,Good,696,Tốt,45000000.0,Chấp nhận,,2022-01-18,Mua máy tính/laptop,2022-02-14
8,72897,Good,727,Xuất sắc,65000000.0,Chấp nhận,,2022-12-22,Sửa chữa nhà cửa,2023-01-13
9,9507,Good,713,Tốt,30000000.0,Chấp nhận,,2022-07-27,Mua sắm thời trang,2022-08-22
10,88624,Good,710,Tốt,60000000.0,Chấp nhận,,2022-03-06,Mua điện thoại/smartphone,2022-03-26
11,95115,Bad,532,Kém,,Từ chối,Lịch sử tín dụng kém,2022-04-24,Đi du lịch,
12,99243,Good,696,Tốt,45000000.0,Chấp nhận,,2022-09-12,Mua đồ phục vụ công việcTrang trải chi phí học tập,2022-09-29
13,77045,Good,727,Xuất sắc,65000000.0,Chấp nhận,,2022-09-05,Thanh toán học phí,2022-09-28
14,31791,Good,700,Tốt,50000000.0,Chấp nhận,,2022-08-04,Mua sắm thời trang,2022-08-29
15,45417,Good,713,Tốt,35000000.0,Chấp nhận,,2022-05-13,Mua điện thoại/smartphone,2022-05-29
16,71963,Good,758,Xuất sắc,55000000.0,Chấp nhận,,2022-06-24,Mua sắm thời trang,2022-07-11
17,91216,Good,710,Tốt,30000000.0,Chấp nhận,,2022-10-11,Mua sắm thời trang,2022-11-05
18,31924,Good,693,Tốt,30000000.0,Chấp nhận,,2022-05-21,Thanh toán chi phí gia đình,2022-06-18
19,15134,Good,717,Tốt,50000000.0,Chấp nhận,,2022-09-04,Thanh toán khoản vay cũ,2022-09-23
20,16405,Good,717,Tốt,55000000.0,Chấp nhận,,2022-05-08,Đi du lịch,2022-05-31
21,22718,Good,696,Tốt,70000000.0,Chấp nhận,,2022-07-12,Thanh toán khoản vay cũ,2022-08-06
22,15522,Good,713,Tốt,35000000.0,Chấp nhận,,2022-08-07,"Làm đẹp, spa",2022-08-25
23,24507,Good,693,Tốt,45000000.0,Chấp nhận,,2022-02-23,Đi du lịch,2022-03-12
24,13979,Good,707,Tốt,45000000.0,Chấp nhận,,2022-06-12,Đi du lịch,2022-07-10
25,71898,Good,693,Tốt,40000000.0,Chấp nhận,,2022-02-26,Thanh toán học phí,2022-03-27
26,64290,Good,742,Xuất sắc,60000000.0,Chấp nhận,,2022-02-20,Mua máy tính/laptop,2022-03-21
27,27706,Bad,633,Trung bình,,Từ chối,Quá nhiều khoản vay,2022-03-25,Mua hàng điện tử,
28,92621,Bad,532,Kém,,Từ chối,Không cung cấp đầy đủ thông tin,2022-07-12,Mua máy tính/laptop,
29,66503,Good,727,Xuất sắc,50000000.0,Chấp nhận,,2022-08-10,Mua máy tính/laptop,2022-08-24
30,32959,Good,693,Tốt,50000000.0,Chấp nhận,,2022-04-18,Mua đồ trang sức,2022-05-04
31,50907,Good,703,Tốt,45000000.0,Chấp nhận,,2022-10-15,Mua điện thoại/smartphone,2022-11-02
32,82950,Good,710,Tốt,55000000.0,Chấp nhận,,2022-01-18,Thanh toán học phí,2022-02-14
33,84717,Good,710,Tốt,50000000.0,Chấp nhận,,2022-05-03,Đi du lịch,2022-05-31
34,6839,Good,707,Tốt,35000000.0,Chấp nhận,,2022-10-17,Thanh toán khoản vay cũ,2022-10-31
35,3015,Good,713,Tốt,30000000.0,Chấp nhận,,2022-04-06,Thanh toán hóa đơn y tế,2022-04-25
36,21702,Bad,532,Kém,,Từ chối,Chưa từng có kinh nghiệm vay tín dụng trước đây,2022-12-27,Mua máy tính/laptop,
37,72719,Good,710,Tốt,35000000.0,Chấp nhận,,2022-01-20,Thanh toán học phí,2022-02-18
38,27709,Good,742,Xuất sắc,50000000.0,Chấp nhận,,2022-08-02,Sửa chữa nhà cửa,2022-08-21
39,88505,Good,710,Tốt,40000000.0,Chấp nhận,,2022-12-25,"Làm đẹp, spa",2023-01-23
40,94640,Good,710,Tốt,45000000.0,Chấp nhận,,2022-12-30,"Làm đẹp, spa",2023-01-23
41,60697,Good,773,Xuất sắc,65000000.0,Chấp nhận,,2022-01-10,Thanh toán khoản vay cũ,2022-02-08
42,73682,Good,727,Xuất sắc,60000000.0,Chấp nhận,,2022-11-12,Đi du lịch,2022-12-09
43,46698,Bad,570,Kém,,Từ chối,Thu nhập không đủ,2022-03-31,Thêm vốn kinh doanh,
44,32179,Bad,633,Trung bình,,Từ chối,Quá nhiều khoản vay,2022-07-04,Xây dựng nhà ở,
45,44305,Bad,570,Kém,,Từ chối,Chưa từng có kinh nghiệm vay tín dụng trước đây,2022-02-17,Mua điện thoại/smartphone,
46,4004,Good,696,Tốt,65000000.0,Chấp nhận,,2022-11-25,Mua sắm thiết bị gia đình,2022-12-09
47,82831,Good,693,Tốt,65000000.0,Chấp nhận,,2022-05-23,Mua máy tính/laptop,2022-06-07
48,99338,Good,727,Xuất sắc,85000000.0,Chấp nhận,,2022-04-29,Mua hàng điện tử,2022-05-17
49,1217,Good,713,Tốt,45000000.0,Chấp nhận,,2022-01-11,Mua mô tô,2022-02-08
50,12878,Good,717,Tốt,60000000.0,Chấp nhận,,2022-04-07,Mua sắm thời trang,2022-05-05
51,5589,Good,713,Tốt,40000000.0,Chấp nhận,,2022-05-09,Mua điện thoại/smartphone,2022-05-27
52,82626,Bad,532,Kém,,Từ chối,Công việc không ổn định,2022-03-09,"Chi tiêu sinh nhật, lễ tết",
53,21985,Bad,532,Kém,,Từ chối,Không cung cấp đầy đủ thông tin,2022-07-31,Mua mô tô,
54,90259,Good,710,Tốt,40000000.0,Chấp nhận,,2022-11-05,Mua sắm thời trang,2022-11-27
55,37085,Good,703,Tốt,60000000.0,Chấp nhận,,2022-08-10,Thanh toán học phí,2022-08-25
56,42548,Good,717,Tốt,65000000.0,Chấp nhận,,2022-05-12,Thanh toán khoản vay cũ,2022-05-29
57,32735,Good,693,Tốt,65000000.0,Chấp nhận,,2022-02-13,Mua sắm thiết bị gia đình,2022-03-10
58,42359,Bad,454,Kém,,Từ chối,Lịch sử tín dụng kém,2022-10-09,Mua đồ trang sức,
59,68379,Good,696,Tốt,35000000.0,Chấp nhận,,2022-05-27,Mua sắm thiết bị gia đình,2022-06-17
60,92365,Good,710,Tốt,30000000.0,Chấp nhận,,2022-12-25,Mua điện thoại/smartphone,2023-01-12
61,37450,Good,696,Tốt,30000000.0,Chấp nhận,,2022-04-14,Thanh toán học phí,2022-05-01
62,58546,Good,710,Tốt,35000000.0,Chấp nhận,,2022-02-22,Mua điện thoại/smartphone,2022-03-11
63,17278,Good,710,Tốt,60000000.0,Chấp nhận,,2022-12-16,Mua điện thoại/smartphone,2023-01-06
64,95986,Good,717,Tốt,30000000.0,Chấp nhận,,2022-03-13,"Làm đẹp, spa",2022-04-04
65,72206,Good,758,Xuất sắc,80000000.0,Chấp nhận,,2022-07-03,Mua máy tính/laptop,2022-07-25
66,3377,Good,700,Tốt,30000000.0,Chấp nhận,,2022-06-12,Sửa chữa nhà cửa,2022-06-27
67,49274,Good,703,Tốt,40000000.0,Chấp nhận,,2022-11-09,Thanh toán khoản vay cũ,2022-12-07
68,74323,Good,742,Xuất sắc,60000000.0,Chấp nhận,,2022-08-12,Mua điện thoại/smartphone,2022-09-10
69,63319,Good,713,Tốt,30000000.0,Chấp nhận,,2022-08-20,Thanh toán khoản vay cũ,2022-09-11
70,55843,Good,710,Tốt,35000000.0,Chấp nhận,,2022-05-20,Đi du lịch,2022-06-06
71,20600,Bad,647,Trung bình,25000000.0,Chấp nhận,,2022-11-08,Sửa chữa nhà cửa,2022-11-25
72,49315,Good,700,Tốt,30000000.0,Chấp nhận,,2022-09-23,Mua máy tính/laptop,2022-10-19
73,85409,Bad,338,Kém,,Từ chối,Điểm tín dụng thấp,2022-12-23,Thanh toán khoản vay cũ,
74,97630,Good,693,Tốt,55000000.0,Chấp nhận,,2022-08-02,Mua đồ trang sức,2022-08-22
75,45167,Good,713,Tốt,40000000.0,Chấp nhận,,2022-10-27,Đi du lịch,2022-11-11
76,70920,Good,700,Tốt,45000000.0,Chấp nhận,,2022-08-16,Thanh toán học phí,2022-09-13
77,42428,Good,707,Tốt,40000000.0,Chấp nhận,,2022-01-19,Mua mô tô,2022-02-15
78,40272,Bad,661,Trung bình,,Từ chối,Điểm tín dụng thấp,2022-06-08,Mua mô tô,
79,38210,Good,707,Tốt,65000000.0,Chấp nhận,,2022-03-10,Mua sắm thời trang,2022-04-01
80,60520,Good,727,Xuất sắc,65000000.0,Chấp nhận,,2022-09-03,Mở kinh doanh nhỏ,2022-09-30
81,55020,Bad,570,Kém,,Từ chối,Công việc không ổn định,2022-09-13,Mua đồ điện tử gia dụng,
82,39189,Bad,338,Kém,,Từ chối,Chưa từng có kinh nghiệm vay tín dụng trước đây,2022-07-25,Đi du lịch,
83,97115,Good,703,Tốt,45000000.0,Chấp nhận,,2022-11-06,Thanh toán khoản vay cũ,2022-11-21
84,95649,Bad,570,Kém,,Từ chối,Thu nhập không đủ,2022-07-24,Mua điện thoại/smartphone,
85,27690,Bad,668,Trung bình,20000000.0,Chấp nhận,,2022-07-05,Mua hàng điện tử,2022-07-21
86,31108,Good,710,Tốt,30000000.0,Chấp nhận,,2022-10-03,Mua điện thoại/smartphone,2022-10-24
87,43008,Good,710,Tốt,30000000.0,Chấp nhận,,2022-02-26,Đi du lịch,2022-03-21
88,46933,Bad,640,Trung bình,15000000.0,Chấp nhận,,2022-05-28,Mua sắm thời trang,2022-06-25
89,96760,Bad,377,Kém,,Từ chối,Thu nhập không đủ,2022-11-23,Tiêu dùng và giải trí,
90,50707,Bad,570,Kém,,Từ chối,Lịch sử tín dụng kém,2022-06-04,Thanh toán khoản vay cũ,
91,3028,Good,717,Tốt,60000000.0,Chấp nhận,,2022-09-05,Mua đồ trang sức,2022-09-23
92,17634,Good,696,Tốt,35000000.0,Chấp nhận,,2022-02-09,Thanh toán chi phí gia đình,2022-02-23
93,8954,Good,696,Tốt,30000000.0,Chấp nhận,,2022-11-16,Mua đồ điện tử gia dụng,2022-12-01
94,22257,Good,758,Xuất sắc,75000000.0,Chấp nhận,,2022-11-15,Đi du lịch,2022-12-06
95,31901,Good,710,Tốt,65000000.0,Chấp nhận,,2022-02-28,Mua sắm thiết bị gia đình,2022-03-16
96,56164,Good,758,Xuất sắc,75000000.0,Chấp nhận,,2022-04-15,Mua sắm thời trang,2022-05-03
97,14445,Good,713,Tốt,30000000.0,Chấp nhận,,2022-10-04,Đi du lịch,2022-10-23
98,78693,Bad,570,Kém,,Từ chối,Chưa từng có kinh nghiệm vay tín dụng trước đây,2022-07-19,Mua hàng điện tử,
99,41780,Good,707,Tốt,45000000.0,Chấp nhận,,2022-07-27,Xây dựng nhà ở,2022-08-11
100,47359,Bad,532,Kém,,Từ chối,Công việc không ổn định,2022-03-03,Sửa chữa nhà cửa,
101,24384,Good,713,Tốt,40000000.0,Chấp nhận,,2022-04-12,Mở kinh doanh nhỏ,2022-05-01
102,48672,Bad,647,Trung bình,10000000.0,Chấp nhận,,2022-08-21,Mua sắm thời trang,2022-09-06
103,84728,Good,696,Tốt,50000000.0,Chấp nhận,,2022-01-10,Đi du lịch,2022-01-28
104,57387,Good,696,Tốt,45000000.0,Chấp nhận,,2022-11-25,Mua điện thoại/smartphone,2022-12-13
105,17117,Good,717,Tốt,35000000.0,Chấp nhận,,2022-04-15,Mua mô tô,2022-05-10
106,89635,Good,710,Tốt,30000000.0,Chấp nhận,,2022-05-19,Thanh toán khoản vay cũ,2022-06-12
107,31370,Good,717,Tốt,35000000.0,Chấp nhận,,2022-02-22,Thanh toán học phí,2022-03-12
108,52672,Good,703,Tốt,55000000.0,Chấp nhận,,2022-03-04,Thêm vốn kinh doanh,2022-03-19
109,58223,Good,710,Tốt,40000000.0,Chấp nhận,,2022-12-05,Thanh toán học phí,2022-12-31
110,35219,Bad,570,Kém,,Từ chối,Chưa từng có kinh nghiệm vay tín dụng trước đây,2022-10-20,Đi du lịch,
111,15319,Bad,454,Kém,,Từ chối,Không có lịch sử tín dụng,2022-10-13,Mua mô tô,
112,62265,Good,696,Tốt,45000000.0,Chấp nhận,,2022-12-03,Đi du lịch,2022-12-22
113,2646,Good,703,Tốt,45000000.0,Chấp nhận,,2022-06-14,Thanh toán khoản vay cũ,2022-07-04
114,26079,Good,696,Tốt,45000000.0,Chấp nhận,,2022-02-21,Thanh toán học phí,2022-03-21
115,80326,Good,703,Tốt,40000000.0,Chấp nhận,,2022-03-16,Thanh toán khoản vay cũ,2022-04-02
116,9842,Good,703,Tốt,55000000.0,Chấp nhận,,2022-12-14,Mua đồ điện tử gia dụng,2023-01-12
117,65997,Bad,633,Trung bình,,Từ chối,Lịch sử tín dụng kém,2022-09-17,"Làm đẹp, spa",
118,32710,Good,693,Tốt,60000000.0,Chấp nhận,,2022-09-16,Mở kinh doanh nhỏ,2022-09-30
