,customer_id,credit_label,credit_rating,credit_score,approval_status,reject_reason,credit_limit,application_date,application_reason,disbursement_date
0,11251,Bad,Kém,377,Từ chối,Điểm tín dụng thấp,,2022-04-13,Mua đồ trang sức,
1,10248,Good,Tốt,713,Chấp nhận,,50000000.0,2022-11-25,Thanh toán khoản vay cũ,2022-12-09
2,667,Good,Tốt,707,Chấp nhận,,35000000.0,2022-07-21,Thanh toán khoản vay cũ,2022-08-07
3,4141,Good,Tốt,696,Chấp nhận,,35000000.0,2022-05-18,Mua sắm thiết bị gia đình,2022-06-05
4,45850,Good,Tốt,696,Chấp nhận,,35000000.0,2022-01-16,Đi du lịch,2022-02-01
5,43445,Good,Xuất sắc,758,Chấp nhận,,70000000.0,2022-12-16,Mua đồ trang sức,2022-12-31
6,60814,Good,Tốt,717,Chấp nhận,,40000000.0,2022-04-19,Mua điện thoại/smartphone,2022-05-03
7,44036,Good,Tốt,710,Chấp nhận,,35000000.0,2022-04-11,Thanh toán khoản vay cũ,2022-05-10
8,46813,Good,Tốt,713,Chấp nhận,,30000000.0,2022-08-01,Mua hàng điện tử,2022-08-26
9,50390,Good,Tốt,696,Chấp nhận,,30000000.0,2022-05-22,Mở kinh doanh nhỏ,2022-06-15
10,4499,Bad,Kém,338,Từ chối,Thu nhập không đủ,,2022-03-28,Sửa chữa nhà cửa,
11,92762,Good,Xuất sắc,742,Chấp nhận,,50000000.0,2022-07-28,Mua đồ thể thao,2022-08-14
12,9620,Good,Tốt,710,Chấp nhận,,30000000.0,2022-03-11,Mua đồ điện tử gia dụng,2022-04-07
13,36624,Good,Tốt,710,Chấp nhận,,65000000.0,2022-10-19,Mua sắm thời trang,2022-11-16
14,77539,Good,Tốt,696,Chấp nhận,,35000000.0,2022-08-11,Thanh toán chi phí gia đình,2022-08-30
15,84052,Good,Xuất sắc,727,Chấp nhận,,50000000.0,2022-06-26,Thanh toán khoản vay cũ,2022-07-24
16,21363,Bad,Kém,532,Từ chối,Điểm tín dụng thấp,,2022-11-03,Mua sắm thời trang,
17,71753,Good,Tốt,717,Chấp nhận,,65000000.0,2022-04-20,Thanh toán khoản vay cũ,2022-05-04
18,23282,Good,Tốt,713,Chấp nhận,,45000000.0,2022-04-08,Mở kinh doanh nhỏ,2022-05-02
19,40921,Bad,Kém,570,Từ chối,Điểm tín dụng thấp,,2022-04-21,Mua đồ thể thao,
20,32482,Good,Tốt,710,Chấp nhận,,40000000.0,2022-01-17,Mở kinh doanh nhỏ,2022-02-07
21,14317,Good,Xuất sắc,742,Chấp nhận,,50000000.0,2022-10-08,Thanh toán học phí,2022-11-02
22,5169,Good,Tốt,690,Chấp nhận,,30000000.0,2022-12-14,"Làm đẹp, spa",2023-01-03
23,34056,Good,Xuất sắc,742,Chấp nhận,,60000000.0,2022-09-08,Thanh toán khoản vay cũ,2022-10-06
24,27186,Good,Tốt,710,Chấp nhận,,55000000.0,2022-06-19,Đi du lịch,2022-07-07
25,30850,Bad,Kém,454,Từ chối,Không đáp ứng yêu cầu tiêu chuẩn của ngân hàng,,2022-10-24,Đi du lịch,
26,77105,Good,Xuất sắc,727,Chấp nhận,,65000000.0,2022-05-24,Mua đồ trang sức,2022-06-10
27,29363,Good,Tốt,693,Chấp nhận,,40000000.0,2022-07-22,Mua hàng điện tử,2022-08-11
28,51675,Good,Tốt,710,Chấp nhận,,55000000.0,2022-06-19,Thanh toán chi phí gia đình,2022-07-10
29,98578,Good,Tốt,693,Chấp nhận,,40000000.0,2022-07-14,"Làm đẹp, spa",2022-08-09
30,47306,Good,Tốt,693,Chấp nhận,,35000000.0,2022-01-06,Mua sắm thiết bị gia đình,2022-01-28
31,76,Good,Tốt,696,Chấp nhận,,35000000.0,2022-08-01,"Chi tiêu sinh nhật, lễ tết",2022-08-21
32,78808,Good,Tốt,713,Chấp nhận,,65000000.0,2022-10-26,Thanh toán học phí,2022-11-23
33,70501,Good,Tốt,696,Chấp nhận,,40000000.0,2022-08-09,Mua máy tính/laptop,2022-09-03
34,40122,Good,Tốt,696,Chấp nhận,,60000000.0,2022-08-09,Mua mô tô,2022-08-31
35,41302,Good,Tốt,703,Chấp nhận,,30000000.0,2022-03-20,Thanh toán học phí,2022-04-11
36,50214,Good,Xuất sắc,727,Chấp nhận,,65000000.0,2022-11-09,"Chi tiêu sinh nhật, lễ tết",2022-11-26
37,4903,Good,Tốt,696,Chấp nhận,,40000000.0,2022-02-20,Mua đồ phục vụ công việcTrang trải chi phí học tập,2022-03-18
38,5130,Good,Tốt,693,Chấp nhận,,40000000.0,2022-08-24,Thanh toán khoản vay cũ,2022-09-13
39,4647,Good,Tốt,710,Chấp nhận,,35000000.0,2022-06-10,Sửa chữa nhà cửa,2022-07-01
40,77001,Bad,Kém,377,Từ chối,Công việc không ổn định,,2022-10-24,Mua máy tính/laptop,
41,8587,Good,Tốt,710,Chấp nhận,,35000000.0,2022-04-30,Thanh toán hóa đơn y tế,2022-05-21
42,63872,Good,Tốt,707,Chấp nhận,,55000000.0,2022-07-09,Đi du lịch,2022-08-07
43,53258,Good,Tốt,710,Chấp nhận,,40000000.0,2022-06-01,Đi du lịch,2022-06-29
44,83023,Good,Tốt,713,Chấp nhận,,40000000.0,2022-09-15,Đi du lịch,2022-10-09
45,12125,Good,Xuất sắc,727,Chấp nhận,,50000000.0,2022-06-14,Đi du lịch,2022-06-29
46,14023,Good,Tốt,717,Chấp nhận,,35000000.0,2022-01-29,Thanh toán khoản vay cũ,2022-02-24
47,60452,Good,Tốt,696,Chấp nhận,,35000000.0,2022-01-31,Mở kinh doanh nhỏ,2022-02-28
48,43276,Good,Xuất sắc,727,Chấp nhận,,50000000.0,2022-05-24,Thanh toán chi phí gia đình,2022-06-07
49,82503,Bad,Kém,532,Từ chối,Không đáp ứng yêu cầu tiêu chuẩn của ngân hàng,,2022-09-10,Mua mô tô,
50,9679,Good,Tốt,710,Chấp nhận,,50000000.0,2022-04-17,Mua đồ thể thao,2022-05-01
51,37605,Good,Tốt,713,Chấp nhận,,60000000.0,2022-05-11,Đi du lịch,2022-06-02
52,50820,Good,Tốt,700,Chấp nhận,,55000000.0,2022-06-17,Thanh toán khoản vay cũ,2022-07-16
53,43585,Good,Tốt,707,Chấp nhận,,45000000.0,2022-06-13,Mua đồ thể thao,2022-06-28
54,34298,Good,Tốt,703,Chấp nhận,,40000000.0,2022-06-12,Mua điện thoại/smartphone,2022-06-29
55,34565,Good,Tốt,693,Chấp nhận,,30000000.0,2022-01-19,"Chi tiêu sinh nhật, lễ tết",2022-02-13
56,17780,Good,Tốt,696,Chấp nhận,,45000000.0,2022-06-28,Mua sắm thời trang,2022-07-24
57,52250,Good,Tốt,693,Chấp nhận,,60000000.0,2022-12-18,Thanh toán khoản vay cũ,2023-01-13
58,9234,Good,Tốt,696,Chấp nhận,,35000000.0,2022-05-08,Mua đồ trang sức,2022-06-04
59,95272,Good,Tốt,690,Chấp nhận,,35000000.0,2022-09-12,Mua đồ phục vụ công việcTrang trải chi phí học tập,2022-10-11
60,91153,Good,Tốt,696,Chấp nhận,,35000000.0,2022-10-05,Mua đồ điện tử gia dụng,2022-10-21
61,43511,Good,Tốt,693,Chấp nhận,,60000000.0,2022-06-27,Đi du lịch,2022-07-22
62,58417,Good,Tốt,696,Chấp nhận,,35000000.0,2022-09-05,"Làm đẹp, spa",2022-10-02
63,16937,Good,Tốt,717,Chấp nhận,,35000000.0,2022-03-18,Mua đồ trang sức,2022-04-08
64,85758,Good,Tốt,710,Chấp nhận,,55000000.0,2022-04-25,Mua sắm thời trang,2022-05-16
65,33968,Good,Tốt,693,Chấp nhận,,35000000.0,2022-11-20,Thanh toán khoản vay cũ,2022-12-10
66,58367,Good,Xuất sắc,727,Chấp nhận,,65000000.0,2022-09-23,Thanh toán khoản vay cũ,2022-10-16
67,7879,Good,Tốt,703,Chấp nhận,,35000000.0,2022-05-18,Mua đồ điện tử gia dụng,2022-06-02
68,36172,Good,Tốt,693,Chấp nhận,,65000000.0,2022-08-30,Mua sắm thiết bị gia đình,2022-09-19
69,79230,Good,Tốt,707,Chấp nhận,,50000000.0,2022-09-24,Mua đồ điện tử gia dụng,2022-10-23
70,42960,Good,Tốt,717,Chấp nhận,,45000000.0,2022-04-13,Mua mô tô,2022-05-02
71,32573,Good,Tốt,710,Chấp nhận,,30000000.0,2022-10-14,Mua đồ điện tử gia dụng,2022-11-12
72,16784,Bad,Kém,338,Từ chối,Chưa từng có kinh nghiệm vay tín dụng trước đây,,2022-03-14,Mở kinh doanh nhỏ,
73,54103,Good,Tốt,710,Chấp nhận,,50000000.0,2022-11-04,Mua mô tô,2022-11-20
74,39321,Good,Tốt,696,Chấp nhận,,30000000.0,2022-02-18,Đi du lịch,2022-03-15
75,67857,Good,Tốt,710,Chấp nhận,,35000000.0,2022-02-05,Mua máy tính/laptop,2022-02-25
76,61698,Bad,Kém,609,Từ chối,Không đáp ứng yêu cầu tiêu chuẩn của ngân hàng,,2022-07-13,"Làm đẹp, spa",
77,23194,Good,Tốt,710,Chấp nhận,,40000000.0,2022-05-04,Thanh toán học phí,2022-05-23
78,53593,Good,Tốt,707,Chấp nhận,,45000000.0,2022-09-26,Mua sắm thời trang,2022-10-13
79,82893,Good,Tốt,693,Chấp nhận,,45000000.0,2022-08-01,Mua máy tính/laptop,2022-08-28
80,2320,Good,Xuất sắc,727,Chấp nhận,,65000000.0,2022-06-20,Thanh toán chi phí gia đình,2022-07-13
81,9612,Good,Tốt,710,Chấp nhận,,35000000.0,2022-12-13,Mở kinh doanh nhỏ,2023-01-04
82,97293,Good,Tốt,693,Chấp nhận,,40000000.0,2022-08-26,Thêm vốn kinh doanh,2022-09-15
83,79635,Good,Tốt,713,Chấp nhận,,40000000.0,2022-09-15,Điều trị sức khỏe,2022-10-14
84,89109,Bad,Kém,570,Từ chối,Chưa từng có kinh nghiệm vay tín dụng trước đây,,2022-01-01,Mua hàng điện tử,
85,69080,Good,Xuất sắc,773,Chấp nhận,,65000000.0,2022-07-23,Mở kinh doanh nhỏ,2022-08-16
86,24910,Good,Tốt,710,Chấp nhận,,35000000.0,2022-02-10,Mua sắm thời trang,2022-03-09
87,70709,Good,Tốt,707,Chấp nhận,,55000000.0,2022-09-23,Sửa chữa nhà cửa,2022-10-10
88,7315,Good,Tốt,713,Chấp nhận,,35000000.0,2022-06-28,Mua máy tính/laptop,2022-07-14
89,94222,Good,Tốt,713,Chấp nhận,,35000000.0,2022-06-28,Mua điện thoại/smartphone,2022-07-19
90,99000,Good,Tốt,703,Chấp nhận,,65000000.0,2022-12-14,Mua sắm thiết bị gia đình,2023-01-05
91,51858,Good,Tốt,690,Chấp nhận,,50000000.0,2022-07-10,Thanh toán chi phí gia đình,2022-07-27
92,77486,Bad,Trung bình,633,Chấp nhận,,5000000.0,2022-07-22,Đi du lịch,2022-08-05
93,20165,Good,Tốt,707,Chấp nhận,,45000000.0,2022-06-22,Mua đồ phục vụ công việcTrang trải chi phí học tập,2022-07-07
94,98573,Good,Tốt,713,Chấp nhận,,60000000.0,2022-11-28,Thanh toán khoản vay cũ,2022-12-20
95,83317,Good,Tốt,710,Chấp nhận,,35000000.0,2022-05-23,Thanh toán khoản vay cũ,2022-06-14
96,70345,Good,Tốt,693,Chấp nhận,,30000000.0,2022-01-06,Thanh toán học phí,2022-01-22
97,68258,Good,Tốt,693,Chấp nhận,,30000000.0,2022-05-27,Mua đồ trang sức,2022-06-15
98,87798,Good,Tốt,707,Chấp nhận,,65000000.0,2022-08-07,Thanh toán chi phí gia đình,2022-09-05
99,82641,Good,Tốt,710,Chấp nhận,,30000000.0,2022-01-25,Thanh toán khoản vay cũ,2022-02-11
100,79887,Good,Tốt,696,Chấp nhận,,60000000.0,2022-04-05,Thêm vốn kinh doanh,2022-04-23
101,58168,Good,Tốt,696,Chấp nhận,,50000000.0,2022-09-03,"Chi tiêu sinh nhật, lễ tết",2022-09-22
102,80533,Good,Tốt,710,Chấp nhận,,60000000.0,2022-05-20,Mua điện thoại/smartphone,2022-06-12
103,69642,Good,Tốt,693,Chấp nhận,,35000000.0,2022-05-09,Thanh toán khoản vay cũ,2022-06-05
104,33596,Good,Xuất sắc,742,Chấp nhận,,50000000.0,2022-04-19,Mua điện thoại/smartphone,2022-05-05
105,91098,Good,Xuất sắc,727,Chấp nhận,,75000000.0,2022-07-04,Mở kinh doanh nhỏ,2022-07-19
106,61269,Bad,Kém,416,Từ chối,Công việc không ổn định,,2022-07-28,Sửa chữa nhà cửa,
107,32588,Good,Tốt,693,Chấp nhận,,40000000.0,2022-10-22,Thanh toán khoản vay cũ,2022-11-09
108,71081,Good,Tốt,693,Chấp nhận,,40000000.0,2022-04-24,Thanh toán chi phí gia đình,2022-05-21
109,39046,Good,Tốt,696,Chấp nhận,,30000000.0,2022-01-27,Đi du lịch,2022-02-16
110,14715,Good,Tốt,710,Chấp nhận,,45000000.0,2022-08-19,Mua mô tô,2022-09-14
111,30223,Good,Tốt,696,Chấp nhận,,40000000.0,2022-09-06,Mở kinh doanh nhỏ,2022-09-28
112,84055,Good,Tốt,710,Chấp nhận,,30000000.0,2022-07-01,Đi du lịch,2022-07-16
113,57370,Good,Xuất sắc,742,Chấp nhận,,50000000.0,2022-06-08,Thanh toán khoản vay cũ,2022-06-23
114,92455,Good,Tốt,710,Chấp nhận,,40000000.0,2022-06-15,Đi du lịch,2022-07-08
115,66910,Good,Tốt,693,Chấp nhận,,40000000.0,2022-05-27,Mua mô tô,2022-06-21
116,90408,Good,Tốt,713,Chấp nhận,,40000000.0,2022-01-12,Đi du lịch,2022-02-01
117,8792,Good,Tốt,696,Chấp nhận,,40000000.0,2022-12-28,Đi du lịch,2023-01-13
118,49221,Good,Tốt,696,Chấp nhận,,55000000.0,2022-07-03,Mua đồ thể thao,2022-07-30
119,87622,Good,Tốt,710,Chấp nhận,,50000000.0,2022-01-11,Thanh toán chi phí gia đình,2022-02-06
120,97252,Bad,Kém,338,Từ chối,Quá nhiều khoản vay,,2022-01-23,Đi du lịch,
121,17350,Good,Tốt,710,Chấp nhận,,40000000.0,2022-09-13,Thanh toán khoản vay cũ,2022-09-30
122,24057,Good,Tốt,693,Chấp nhận,,30000000.0,2022-08-08,Thanh toán học phí,2022-09-04
123,88303,Good,Tốt,710,Chấp nhận,,30000000.0,2022-04-13,Thanh toán khoản vay cũ,2022-05-10
124,73569,Good,Tốt,693,Chấp nhận,,35000000.0,2022-11-12,Mua đồ điện tử gia dụng,2022-11-26
125,67733,Bad,Kém,338,Từ chối,Không đáp ứng yêu cầu tiêu chuẩn của ngân hàng,,2022-09-29,Mua đồ nội thất,
126,32481,Good,Tốt,713,Chấp nhận,,50000000.0,2022-03-31,Thanh toán chi phí gia đình,2022-04-18
127,8489,Good,Tốt,713,Chấp nhận,,75000000.0,2022-02-15,"Làm đẹp, spa",2022-03-03
