,customer_id,credit_label,membership_lifespan,num_day_since_last_active,num_active_last_7d,num_active_last_14d,num_active_last_30d,total_amount_spent_last_180d,total_amount_spent_last_365d,total_tax_amount_spent,total_fee_amount_spent,num_completed_txn,num_canceled_txn,num_reject_txn,prob_abuse_promotion,num_used_promotion,prob_abnormal_activity,num_select_promotion,num_interest_products,income_spending_ratio,income_stability,total_tax_amount,annually_income_segment
0,50419,Good,837,354,252,303,915,379103000,513295000,86125300,9941370,146,47,1,0.2323399564832122,70,0.94,312,29,0.1232890031598444,Rất ổn định,7665000,Trên 3 tỷ
1,458,Good,311,72,187,69,1000,305811000,936993000,25229400,7257440,34,19,1,0.5226644419756599,87,0.46,926,10,0.3253293989946191,Rất ổn định,9071000,Trên 3 tỷ
2,20532,Good,849,166,164,226,240,681681000,603593000,60355900,4504410,177,69,1,0.6277449872849591,58,0.78,583,44,0.6336993095157278,Ổn định,7921000,Dưới 300 triệu
3,11655,Good,821,37,32,273,630,360079000,98364000,52318000,4441740,145,7,9,0.3783172257993026,81,0.51,985,43,0.0684919675262157,Rất ổn định,5771000,Dưới 300 triệu
4,43585,Good,527,15,131,473,680,778771000,619933000,51085300,1805850,284,19,1,0.5589423286040524,63,0.11,657,12,0.1621089943933551,Ổn định,1188000,Trên 1 tỷ
5,36088,Good,299,200,259,236,746,72799000,604722000,7060400,9092140,10,21,3,0.702323673424324,72,0.58,40,41,0.2149695619353048,Rất ổn định,9039000,Trên 1 tỷ
6,97569,Good,437,346,18,180,400,814231000,188380000,61705400,8703170,160,48,5,0.0478818901845331,62,0.89,51,32,0.8945930282481928,Rất ổn định,9017000,Trên 3 tỷ
7,47011,Good,886,254,73,592,997,2267000,904238000,45387400,5196400,102,70,3,0.0350131305282697,76,0.38,378,5,0.1371270928098505,Ổn định,6924000,Trên 1 tỷ
8,78450,Good,594,71,265,4,725,412515000,517379000,3369100,623270,18,94,1,0.4346666876107673,86,0.03,472,7,0.048778258218016,Rất ổn định,619000,Trên 1 tỷ
9,22173,Good,325,62,236,279,945,492629000,113386000,47161800,3351430,195,23,53,0.619349689840127,93,0.49,884,33,0.1704010662682837,Rất ổn định,3820000,Trên 1 tỷ
10,90475,Good,222,307,35,67,435,761500000,926084000,64593200,6573150,286,95,4,0.2967630174491802,55,0.6,217,6,0.2747795295684989,Ổn định,6946000,Dưới 300 triệu
11,81185,Good,472,5,79,454,173,68313000,197336000,99902500,5481590,249,76,3,0.3021383940360628,93,0.13,464,2,0.687527923284879,Ổn định,9953000,Trên 3 tỷ
12,39612,Good,129,246,95,283,849,857136000,73973000,14802900,8871910,160,7,1,0.2594954220605029,57,0.28,336,26,0.7888925362557607,Tạm ổn,1375000,Trên 1 tỷ
13,18216,Good,869,130,50,236,262,733882000,242546000,23078900,5432200,9,76,26,0.0710981118760365,75,0.28,11,44,0.760967441489151,Rất ổn định,782000,Trên 1 tỷ
14,11063,Good,235,72,177,403,13,119252000,648670000,67775600,6676610,253,20,9,0.6571350311449717,92,0.19,347,38,0.2069995959773972,Rất ổn định,9972000,Trên 3 tỷ
15,91572,Good,244,273,160,175,217,401780000,290553000,57325700,2956030,236,34,8,0.3364178745239957,46,0.38,808,23,0.935102277980176,Rất ổn định,4318000,Từ 300 triệu tới 1 tỷ
16,99000,Good,623,194,28,87,103,432510000,122667000,23421300,288270,290,21,4,0.0795404584180187,46,0.39,269,37,0.6623705299565431,Rất ổn định,5487000,Trên 1 tỷ
17,32440,Good,771,17,282,308,314,28698000,188671000,22833000,5360770,119,40,1,0.7985686630991846,51,0.27,528,19,0.547316647350387,Rất ổn định,4674000,Từ 300 triệu tới 1 tỷ
18,33597,Good,635,218,45,238,398,156830000,960064000,73629100,1865440,106,91,8,0.065991825607198,45,0.5,161,11,0.541603166792844,Rất ổn định,5906000,Từ 300 triệu tới 1 tỷ
19,59233,Good,298,361,77,51,754,669707000,62953000,77812000,5168510,255,97,1,0.8925165077251018,43,0.53,790,8,0.9869979268622512,Ổn định,3968000,Trên 1 tỷ
20,75655,Good,290,181,283,176,266,499474000,310242000,94400000,4424920,248,24,3,0.9866885443115256,47,0.19,497,11,0.1978671964722118,Rất ổn định,2874000,Từ 300 triệu tới 1 tỷ
21,53549,Good,515,212,257,74,30,495558000,660107000,95343600,430460,108,30,12,0.8285244253462298,62,0.92,462,35,0.3912521151373965,Rất ổn định,7747000,Trên 1 tỷ
