,customer_id,income_date,income_category,income_source,amount,tax_amount,currency,frequency,description,annual_income_category,bank
0,2138,2016-03-25,Lương,Đầu tư,7947.97,24024.06,USD,Hàng năm,Generation lay dream share late. Become others number suggest.,Dưới 300 triệu,Theory will threat door. Economic issue air. Action season rise share somebody.
1,2808,2019-01-23,Kinh doanh,Lương,17196.42,27332.93,USD,Hàng năm,Suddenly serve American happy note door few old. Nothing move young country now view.,Dưới 300 triệu,Baby feeling teach.
2,2623,2017-02-03,Lương,Bất động sản,11658.26,25045.66,EUR,Hàng tháng,Your contain seven knowledge blood. Democrat reveal candidate. Arrive director tend vote newspaper.,Dưới 300 triệu,Claim off imagine. Catch between their nature rate know.
3,2924,2020-03-12,Đầu tư,Lương,5558.05,21238.65,VND,Hàng năm,Job indicate modern two. Air suffer offer physical. Could sport wall floor current some cause on.,Dưới 300 triệu,Billion seat safe send road sell expert. Agree project gas but tree.
4,2703,2019-05-05,Kinh doanh,Bất động sản,23146.32,18190.74,USD,Hàng năm,Rule sea seem evidence effort training low go.,Dưới 300 triệu,Southern support wall tell crime. Sure attack tree ask standard building.
5,2567,2015-01-12,Kinh doanh,Đầu tư,10771.66,10469.53,USD,Hàng năm,Culture history down study join fall.,Dưới 300 triệu,Fire international mind pressure.
6,2949,2016-04-15,Lương,Bất động sản,25939.45,18911.36,EUR,Hàng tháng,Consider thought reach church air. Professor phone simple treatment.,Dưới 300 triệu,Tv risk season wonder especially. Range hear space pay smile still little. National at born across.
7,2191,2020-05-19,Đầu tư,Lương,23578.67,27389.38,EUR,Hàng năm,Son nearly oil computer few. Let raise according choose same range.,Dưới 300 triệu,"Both world enough. Upon field since shake.
Stand hair benefit coach suffer far down."
8,2520,2019-10-12,Kinh doanh,Đầu tư,12103.98,29336.29,USD,Hàng năm,Conference sign population someone late. Sell group effect write author prepare.,Dưới 300 triệu,Through whole assume. Bar bed citizen. Physical serious responsibility many answer herself.
9,2604,2023-06-07,Lương,Bất động sản,11068.5,24935.11,USD,Hàng tháng,Model Mr wait art piece nothing much. Question under term lead road almost new.,Dưới 300 triệu,Hotel evidence rich space. Guess fly activity order.
10,2376,2020-08-16,Đầu tư,Lương,15974.04,17710.66,VND,Hàng năm,Order base her watch reach thank serve.,Dưới 300 triệu,Born computer go important speak class hard. Avoid eat impact red dog.
11,2380,2018-12-08,Bất động sản,Lương,16733.0,12713.24,EUR,Hàng năm,"Boy wind sort north.
Off section surface garden like. Poor save last effort bring whole bar teach.",Dưới 300 triệu,Hit series opportunity TV. Word modern happy determine. While TV expert fire dark less nice.
12,2663,2014-02-08,Kinh doanh,Kinh doanh,17555.96,29551.92,VND,Hàng tháng,Page able church program. Area only child general cell consider.,Dưới 300 triệu,Response analysis culture no. Interesting evening determine require piece let month.
13,2415,2015-08-31,Đầu tư,Đầu tư,16478.29,11731.99,EUR,Hàng tháng,Set sister around night nice fire. Town can city billion well.,Dưới 300 triệu,Word for trade candidate campaign. Imagine quality along of measure.
14,2393,2015-04-10,Kinh doanh,Kinh doanh,15652.27,6403.08,USD,Hàng tháng,Role Republican like attorney. Tax door tend wear woman law rate.,Dưới 300 triệu,Into task nothing by from nation show. Measure thing public room article recently also.
15,2964,2018-08-17,Bất động sản,Bất động sản,25333.79,15360.61,VND,Hàng năm,Water business Republican pass sport position. Matter structure science fight.,Dưới 300 triệu,Which side approach own traditional.
16,2470,2018-07-14,Lương,Kinh doanh,20884.28,18768.91,VND,Hàng tháng,West maintain sort message state. Generation simple remember them its wide rather itself.,Dưới 300 triệu,"Cultural pull break despite.
Set season visit trouble relationship. Drop subject tax poor."
17,2818,2021-03-04,Đầu tư,Lương,26043.62,21827.84,VND,Hàng tháng,Level region under prevent. Method dream sea gas. Nature local identify allow interest if lead.,Dưới 300 triệu,Rule glass say serious step suddenly else. Smile possible moment head evidence along.
18,2464,2013-12-26,Lương,Đầu tư,11238.98,7737.22,EUR,Hàng tháng,Entire drug argue wind art husband head poor. Marriage skin simply notice situation interesting.,Dưới 300 triệu,Word medical free. Common oil determine sister include whose. Report wait network whatever last.
19,2353,2018-12-07,Đầu tư,Lương,9186.76,11380.4,VND,Hàng năm,Beat him station property. Environmental develop other development.,Dưới 300 triệu,Appear whatever late production drop feel. Listen statement kid message.
20,2664,2018-12-14,Đầu tư,Bất động sản,22565.64,17412.34,VND,Hàng tháng,Hundred trip drive process. Method there former ask. Rock address daughter so less.,Dưới 300 triệu,Choice beat tax up. Still structure she form instead southern certain lay.
21,2320,2018-03-28,Bất động sản,Đầu tư,15522.97,9700.98,VND,Hàng năm,Hour exist exist while likely full same. Vote who everybody animal that level pass.,Dưới 300 triệu,"Child employee describe government sense. Few test early guess letter.
Film natural miss unit."
22,2922,2017-05-04,Kinh doanh,Bất động sản,25425.99,5520.45,VND,Hàng năm,Sure gun week leg girl wall. Would once start argue culture enjoy. Year unit range face.,Dưới 300 triệu,A shoulder market only early.
23,2150,2017-11-30,Lương,Kinh doanh,16141.71,17657.73,USD,Hàng tháng,Nor have carry suddenly interesting capital. Stand investment in adult expert.,Dưới 300 triệu,Rest along middle set tell. Note treat debate paper purpose tree. Federal next hot try.
